name,website,city,state,size_band,owner_type,priority,notes
Sonwil Distribution Center,sonwil.com,Buffalo,NY,mid,family,1,3PL warehousing + transportation; family-run; closest thing to your resume in WNY
NOCO Energy,noco.com,Tonawanda,NY,mid,family,1,Fuel/energy distribution; family owned; fleet + delivery ops
Try-It Distributing,tryitdistributing.com,Lancaster,NY,mid,family,1,Beverage DSD; route ops; family owned
Rosina Food Products,rosina.com,Buffalo,NY,mid,family,1,Food manufacturing + distribution; family owned
Perry's Ice Cream,perrysicecream.com,Akron,NY,mid,family,1,Frozen food; DSD fleet; family owned; adjacent to Arctic Glacier work
Sahlen Packing,sahlens.com,Buffalo,NY,small,family,1,Meat processing; cold chain
Steuben Foods,steubenfoods.com,Elma,NY,mid,family,1,Aseptic food manufacturing
Upstate Niagara Cooperative,upstateniagara.com,Buffalo,NY,mid,private,1,Dairy co-op; plants + fleet; direct Sorrento Lactalis adjacency
Lactalis American Group,lactalisamericangroup.com,Buffalo,NY,large,private,2,Your Sorrento alum network lives here
Confer Plastics,conferplastics.com,North Tonawanda,NY,small,family,1,Rotational molding; single site; short chain to owner
McGard,mcgard.com,Orchard Park,NY,small,family,1,Precision manufacturing; family owned
New Era Cap,neweracap.com,Buffalo,NY,mid,family,2,HQ + distribution
Niagara Transformer,niagaratransformer.com,Buffalo,NY,small,family,1,Heavy manufacturing; single site
Taylor Devices,taylordevices.com,North Tonawanda,NY,small,public,2,Seismic dampers; small public co
Servotronics,servotronics.com,Elma,NY,small,public,2,Small single-site manufacturer
Graham Corporation,graham-mfg.com,Batavia,NY,small,public,2,Vacuum/heat transfer equipment
Columbus McKinnon,cmco.com,Getzville,NY,large,public,3,Material handling
Gibraltar Industries,gibraltar1.com,Buffalo,NY,large,public,3,Building products
Astronics,astronics.com,East Aurora,NY,mid,public,3,Aerospace electronics
Moog Inc,moog.com,East Aurora,NY,large,public,3,Large but strong WNY ops bench
Rich Products,richs.com,Buffalo,NY,large,family,2,Family owned at scale; plants + supply chain
Delaware North,delawarenorth.com,Buffalo,NY,large,family,2,Family owned; food service + venue ops
Wegmans,wegmans.com,Rochester,NY,large,family,2,Distribution + store ops leadership
Tops Markets,topsmarkets.com,Williamsville,NY,large,private,2,Grocery DC + logistics
Dash's Market,dashs.com,Buffalo,NY,micro,family,2,Small grocery chain; owner-adjacent
Buffalo Wire Works,buffalowire.com,Buffalo,NY,small,private,1,Single-site manufacturer
Ontario Knife Company,ontarioknife.com,Franklinville,NY,small,private,2,Manufacturing
PCB Piezotronics,pcb.com,Depew,NY,mid,public,3,Sensors; Amphenol subsidiary
Multisorb,multisorb.com,Buffalo,NY,small,private,2,Specialty materials
Fisher-Price,mattel.com,East Aurora,NY,large,public,3,Mattel division
National Fuel Gas,nationalfuel.com,Williamsville,NY,large,public,3,Utility; field ops
Curbell,curbell.com,Orchard Park,NY,mid,family,1,Plastics distribution; family owned; distribution ops
Ferguson,ferguson.com,Buffalo,NY,large,public,3,Distribution branches; branch manager roles
Uniland Development,uniland.com,Amherst,NY,mid,family,2,Real estate; facilities ops
Ciminelli Real Estate,ciminelli.com,Buffalo,NY,mid,family,2,Property + facilities management
Independent Health,independenthealth.com,Buffalo,NY,large,nonprofit,3,Ops/facilities roles
Kaleida Health,kaleidahealth.org,Buffalo,NY,large,nonprofit,3,Support services + logistics
Catholic Health,chsbuffalo.org,Buffalo,NY,large,nonprofit,3,Supply chain + facilities
ECMC,ecmc.edu,Buffalo,NY,large,gov,3,Hospital support services
University at Buffalo,buffalo.edu,Buffalo,NY,large,gov,3,Facilities + campus ops; your alma mater
Erie County,erie.gov,Buffalo,NY,large,gov,3,Public works / fleet
City of Buffalo,buffalony.gov,Buffalo,NY,large,gov,3,Public works / fleet
Niagara Frontier Transportation Authority,nfta.com,Buffalo,NY,large,gov,2,Transit ops; fleet; direct transportation fit
Leonard's Express,leonardsexpress.com,Farmington,NY,mid,family,1,Trucking + logistics; family owned
Kenan Advantage Group,thekag.com,Buffalo,NY,large,pe,2,Bulk transport; terminal manager roles
Sysco,sysco.com,Buffalo,NY,large,public,2,Foodservice DC; transportation manager roles
Performance Food Group,pfgc.com,Buffalo,NY,large,public,2,Foodservice distribution
US Foods,usfoods.com,Buffalo,NY,large,public,2,Foodservice distribution
McLane Company,mclaneco.com,Buffalo,NY,large,private,3,Distribution
UNFI,unfi.com,Buffalo,NY,large,public,3,Grocery distribution
Monro,monro.com,Rochester,NY,large,public,3,Field service / store ops
LiDestri Food and Drink,lidestri.com,Fairport,NY,mid,family,1,Food manufacturing; family owned
Baldwin Richardson Foods,brfoods.com,Macedon,NY,small,family,1,Food manufacturing; family owned
Genesee Brewery,geneseebeer.com,Rochester,NY,mid,private,2,Brewing + distribution
Cummins,cummins.com,Jamestown,NY,large,public,3,Engine plant
Great Lakes Cheese,greatlakescheese.com,Adams,NY,large,family,2,Family owned; plant ops
Ellicott Development,ellicottdevelopment.com,Buffalo,NY,mid,family,2,Property ops
Buffalo Niagara Medical Campus,bnmc.org,Buffalo,NY,small,nonprofit,3,Campus operations
